subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
5,passive,30,615,model2B,1,-895.339,-209.973,0,1200,679,168,9.61729,0.27375,2.12241,0.0655711,0.909606,0.110083,
5,passive,30,615,model2B,2,-879.649,-225.371,0,1200,668,179,6.5434,0.13069,2.07128,0.161809,0.921472,0.0573128,
5,passive,30,615,model2B,3,-871.962,-232.957,0,1200,670,177,-4.65136,0.173045,1.80621,0.170734,0.90401,0.0481672,
5,passive,30,615,model2B,4,-896.756,-208.529,0,1200,682,165,10.4125,0.629797,8.71205,0.171444,0.920387,0.0898415,
5,passive,30,615,model3,0,-871.235,-235.299,0,1400,689,158,2.77877,-0.318065,-0.321566,-1.5077,3.42282,0.175798,0.816001
5,passive,30,615,model3,1,-894.911,-209.876,0,1400,679,168,-13.4454,0.436457,-0.290338,-3.81648,5.8714,0.0363378,0.903826
5,passive,30,615,model3,2,-879.932,-225.237,0,1400,668,179,-0.134842,0.788806,-0.263334,0.405355,-1.29171,-0.190302,0.902249
5,passive,30,615,model3,3,-871.431,-233.294,0,1400,670,177,-47.6828,0.0732056,-0.291815,-5.23387,6.064,0.03555,0.887614
5,passive,30,615,model3,4,-896.374,-208.406,0,1400,682,165,6.71096,1.14679,-0.12723,-0.9058,7.21054,0.455672,0.880067
5,passive,31,645,model0,0,-859.928,-227.378,1,85,689,158,0.842925,-0.116672,,,,,
5,passive,31,645,model0,1,-870.89,-214.816,1,80,679,168,0.87253,-0.0662212,,,,,
5,passive,31,645,model0,2,-862.351,-223.377,1,298,668,179,0.879857,-0.0930313,,,,,
5,passive,31,645,model0,3,-853.391,-232.545,1,81,670,177,0.864831,-0.0581561,,,,,
5,passive,31,645,model0,4,-893.337,-192.955,1,77,682,165,0.896687,-0.0715485,,,,,
5,passive,31,645,model2B,0,-858.563,-227.311,0,1200,689,158,-22.1952,0.0456741,0.954708,1.16971,0.984267,-0.0989937,
5,passive,31,645,model2B,1,-868.755,-215.26,0,1200,679,168,-28.6085,0.0431518,2.00251,-0.393405,0.845189,-0.0291253,
5,passive,31,645,model2B,2,-858.659,-222.711,0,1200,668,179,-2.53249,0.225196,1.25748,0.063953,0.881591,0.0306542,
5,passive,31,645,model2B,3,-850.997,-232.06,0,1200,670,177,-31.656,0.0425858,3.23851,0.32654,0.881514,-0.0075781,
5,passive,31,645,model2B,4,-891.219,-191.04,0,1200,682,165,13.1445,0.0730488,1.86978,0.147439,0.895714,-0.00828153,
5,passive,31,645,model3,0,-854.809,-227.476,0,1400,689,158,-30.5409,0.239612,-0.340421,-0.25556,0.228704,0.043628,0.836665
5,passive,31,645,model3,1,-865.683,-214.552,0,1400,679,168,-43.7678,0.142492,-0.28652,-1.98192,2.38152,0.0330522,0.865679
5,passive,31,645,model3,2,-857.644,-221.388,0,1400,668,179,5.34596,7.04682,-0.116418,-3.66119,5.77227,-8.10785,0.85454
5,passive,31,645,model3,3,-848.841,-231.966,0,1400,670,177,-24.4337,0.161217,-0.274559,-0.229482,0.236229,0.0962133,0.858649
5,passive,31,645,model3,4,-889.648,-191.079,0,1400,682,165,-6.03187,1.39957,-0.26908,0.393404,-1.16039,-0.061354,0.891195
5,passive,32,675,model0,0,-871.873,-220.014,1,98,689,158,0.857645,-0.0952046,,,,,
5,passive,32,675,model0,1,-863.868,-227.225,1,87,679,168,0.863601,-0.0633852,,,,,
5,passive,32,675,model0,2,-873.168,-218.064,1,287,668,179,0.894245,-0.0724894,,,,,
5,passive,32,675,model0,3,-848.553,-243.28,1,80,670,177,0.858609,-0.0328275,,,,,
5,passive,32,675,model0,4,-903.159,-188.856,1,76,682,165,0.909656,-0.0548536,,,,,
5,passive,32,675,model2B,0,-868.103,-219.212,0,1200,689,158,-24.182,0.104239,8.43399,0.17102,0.873609,0.0166465,
5,passive,32,675,model2B,1,-863.689,-227.839,0,1200,679,168,-1704.09,-4.90097e-07,117.832,514.59,34.0903,-0.0646062,
5,passive,32,675,model2B,2,-871.225,-217.857,0,1200,668,179,-5.72766,0.0306719,2.8704,0.0481741,0.901489,-0.0435732,
5,passive,32,675,model2B,3,-844.816,-242.532,0,1200,670,177,-41.07,0.0317117,10.2587,0.149316,0.858704,0.100026,
5,passive,32,675,model2B,4,-900.415,-187.205,0,1200,682,165,-12.1538,0.0948727,3.04836,0.179432,0.916434,0.0582052,
5,passive,32,675,model3,0,-863.31,-220.683,1,1136,689,158,-129.754,0.228067,-0.38932,-1.50574,1.47195,0.271146,0.847089
5,passive,32,675,model3,1,-856.764,-226.155,0,1400,679,168,-69.3702,0.225937,-0.328443,-0.603974,0.735945,0.0202852,0.854562
5,passive,32,675,model3,2,-867.854,-215.281,0,1400,668,179,-216.952,0.130436,-0.314788,-2.089,2.39244,0.00842212,0.887121
5,passive,32,675,model3,3,-841.652,-242.026,0,1400,670,177,-40.3489,0.178658,-0.29903,-0.244974,0.327175,0.0351898,0.84979
5,passive,32,675,model3,4,-897.776,-186.206,1,1205,682,165,-370.554,0.0794223,-0.303737,0.726354,-0.729124,1.14727,0.902532
5,passive,33,705,model0,0,-875.105,-212.318,1,89,689,158,0.861707,-0.0744819,,,,,
5,passive,33,705,model0,1,-855.189,-232.577,1,82,679,168,0.852579,-0.0741835,,,,,
5,passive,33,705,model0,2,-882.033,-206.31,1,144,668,179,0.906141,-0.0709408,,,,,
5,passive,33,705,model0,3,-838.907,-249.402,1,81,670,177,0.846318,-0.0420334,,,,,
5,passive,33,705,model0,4,-894.515,-193.382,1,78,682,165,0.898246,-0.0530549,,,,,
5,passive,33,705,model2B,0,-866.45,-213.663,0,1200,689,158,-3.98576,1.40627,108.596,0.0953208,0.852479,0.00923619,
5,passive,33,705,model2B,1,-845.847,-232.76,0,1200,679,168,-2.0478,2.90676,135.967,-0.20501,0.829291,-0.0109767,
5,passive,33,705,model2B,2,-877.759,-205.754,0,1200,668,179,-71.0694,0.0215337,19.1216,0.037785,0.903125,0.0757158,
5,passive,33,705,model2B,3,-835.593,-248.08,0,1200,670,177,-7.1441,0.0892302,2.6207,0.147115,0.84823,0.0816335,
5,passive,33,705,model2B,4,-889.441,-190.835,0,1200,682,165,-4.18905,1.24913,55.6,-0.22891,0.880793,0.0228785,
5,passive,33,705,model3,0,-864.512,-213.22,0,1400,689,158,-259.516,0.117968,-0.402622,1.65398,-1.65992,0.217564,0.848569
5,passive,33,705,model3,1,-846.245,-231.57,0,1400,679,168,-53.0303,0.173386,-0.367786,-0.335898,0.402525,0.0256933,0.841711
5,passive,33,705,model3,2,-875.569,-202.963,0,1400,668,179,-36.3697,0.148536,-0.340642,-0.692863,0.831751,0.0382019,0.89729
5,passive,33,705,model3,3,-830.844,-247.99,1,668,670,177,19.9517,-0.0632852,-0.317634,0.0982242,0.0922253,0.036053,0.817741
5,passive,33,705,model3,4,-886.065,-189.282,0,1400,682,165,5.99668,-0.877122,-0.340869,-0.00876819,3.61985,2.28907,0.875494
5,passive,34,735,model0,0,-879.594,-199.528,1,84,689,158,0.867355,-0.0512246,,,,,
5,passive,34,735,model0,1,-846.497,-233.352,1,91,679,168,0.841781,-0.0651028,,,,,
5,passive,34,735,model0,2,-872.514,-207.484,1,78,668,179,0.893359,-0.059978,,,,,
5,passive,34,735,model0,3,-832.108,-247.905,1,82,670,177,0.837821,-0.0490447,,,,,
5,passive,34,735,model0,4,-883.366,-196.229,1,272,682,165,0.883682,-0.0390014,,,,,
5,passive,34,735,model2B,0,-879.376,-199.847,1,1090,689,158,18.3364,0.00171351,-0.173667,-115.575,-5.37537,-0.0542015,
5,passive,34,735,model2B,1,-846.402,-233.531,0,1200,679,168,-6.30907,0.00111906,1.85958,-3.48899,0.614001,-0.0634193,
5,passive,34,735,model2B,2,-873.597,-207.602,0,1200,668,179,-27.7842,9.52066e-06,-3.17899,-282.305,-1.54483,-0.0086669,
5,passive,34,735,model2B,3,-832.048,-247.937,0,1200,670,177,-29.8771,-0.00543863,0.0317774,-107.414,-4.62978,-0.0510137,
5,passive,34,735,model2B,4,-882.556,-194.885,0,1200,682,165,65.5136,0.0181476,4.87792,0.0211395,0.879953,-0.0306592,
5,passive,34,735,model3,0,-870.484,-199.702,0,1400,689,158,28.3634,-0.0744873,-0.355969,0.12288,-0.244576,0.0465515,0.844582
5,passive,34,735,model3,1,-837.348,-233.542,0,1400,679,168,494.259,-0.0918287,-0.35987,-0.819817,0.81863,-0.0580602,0.830497
5,passive,34,735,model3,2,-866.606,-204.414,0,1400,668,179,-316.786,0.0115842,-0.317841,0.222315,-0.465596,-0.000347201,0.884574
5,passive,34,735,model3,3,-825.01,-247.233,1,246,670,177,2.9833,-0.000508359,-0.287362,0.29074,-0.00245585,-0.000508086,0.788169
5,passive,34,735,model3,4,-878.729,-193.228,1,231,682,165,2.73235,-0.000634378,-0.230503,0.232382,-0.00289323,-0.000578941,0.853909
5,passive,35,765,model0,0,-869.119,-193.459,1,78,689,158,0.854236,-0.0486574,,,,,
5,passive,35,765,model0,1,-828.642,-234.934,1,83,679,168,0.81987,-0.054963,,,,,
5,passive,35,765,model0,2,-852.472,-210.465,1,83,668,179,0.866962,-0.0516303,,,,,
5,passive,35,765,model0,3,-827.446,-235.418,1,82,670,177,0.831993,-0.0492528,,,,,
5,passive,35,765,model0,4,-870.681,-192.33,1,91,682,165,0.867376,-0.0379134,,,,,
5,passive,35,765,model2B,0,-869.01,-193.634,0,1200,689,158,-5.79646,-0.0622013,0.0140569,-28.9838,-0.59827,-0.0506227,
5,passive,35,765,model2B,1,-823.88,-237.902,0,1200,679,168,8.8531,-0.162495,-1.67724,0.127577,0.817838,0.0883158,
5,passive,35,765,model2B,2,-850.034,-209.728,0,1200,668,179,-10.9504,-0.223264,-4.37706,-0.0449675,0.861785,0.0545714,
5,passive,35,765,model2B,3,-827.244,-235.301,0,1200,670,177,29.2427,0.050947,0.279687,0.276562,0.845726,-0.0445235,
5,passive,35,765,model2B,4,-868.931,-191.343,1,735,682,165,4.10748,-0.0995656,-1.45331,0.103174,0.86908,0.0532086,
5,passive,35,765,model3,0,-862.397,-193.601,1,1022,689,158,7.50316,-0.296094,-0.307456,-0.203209,0.650807,0.0407513,0.832752
5,passive,35,765,model3,1,-821.425,-235.518,0,1400,679,168,92.1391,-0.138713,-0.309259,-0.215219,1.41408,0.0192743,0.811263
5,passive,35,765,model3,2,-847.95,-208.2,0,1400,668,179,-102.257,0.0527963,-0.269607,-0.00204428,-2.15247,-0.0648879,0.86099
5,passive,35,765,model3,3,-821.508,-234.668,0,1400,670,177,11.6217,-0.37454,-0.28442,-0.866859,1.55567,-0.0306156,0.823218
5,passive,35,765,model3,4,-866.539,-189.758,0,1400,682,165,93.3048,-0.0749362,-0.24605,-0.131713,0.273981,-0.000115975,0.862071
5,passive,36,795,model0,0,-869.799,-191.232,1,96,689,158,0.855088,-0.0915002,,,,,
5,passive,36,795,model0,1,-814.621,-248.789,1,95,679,168,0.803119,-0.0919088,,,,,
5,passive,36,795,model0,2,-857.526,-204.225,1,180,668,179,0.873563,-0.0863853,,,,,
5,passive,36,795,model0,3,-818.712,-243.043,1,92,670,177,0.8212,-0.0880529,,,,,
5,passive,36,795,model0,4,-878.993,-183.054,1,86,682,165,0.878005,-0.0824602,,,,,
5,passive,36,795,model2B,0,-866.127,-192.126,0,1200,689,158,-0.627978,2.53406,1.4319,0.382165,0.880389,-0.050483,
5,passive,36,795,model2B,1,-813.809,-250.461,0,1200,679,168,0.388831,0.111237,0.166727,1.11792,0.902871,-0.0880616,
5,passive,36,795,model2B,2,-856.784,-203.679,0,1200,668,179,-18.3666,0.0777399,1.41646,-0.1171,0.860055,-0.059573,
5,passive,36,795,model2B,3,-818.568,-243.002,0,1200,670,177,-7.78079,0.0471456,0.292703,-0.861746,0.745556,-0.0794811,
5,passive,36,795,model2B,4,-876.873,-183.082,0,1200,682,165,12.9397,0.313083,2.82903,0.39756,0.908402,0.0174302,
5,passive,36,795,model3,0,-862.288,-191.196,0,1400,689,158,-141.399,-0.0332892,-0.111126,2.95712,-0.197447,0.425326,0.822305
5,passive,36,795,model3,1,-810.465,-250.04,1,1013,679,168,7.11403,0.380805,-0.195104,1.16266,-1.1079,-0.130899,0.765071
5,passive,36,795,model3,2,-850.732,-203.298,0,1400,668,179,715.398,0.00659452,-0.107235,4.44234,-1.7384,-0.277678,0.839476
5,passive,36,795,model3,3,-811.21,-243.777,0,1400,670,177,1110.43,0.00321822,-0.131805,-5.97117,7.75622,-2.30681,0.770174
5,passive,36,795,model3,4,-872.521,-181.792,0,1400,682,165,226.84,0.0208501,-0.103634,4.34243,-1.69427,-0.0670033,0.844461
5,passive,37,825,model0,0,-839.866,-197.768,1,86,689,158,0.818728,-0.123002,,,,,
5,passive,37,825,model0,1,-799.669,-239.893,1,86,679,168,0.785693,-0.123856,,,,,
5,passive,37,825,model0,2,-837.183,-201.094,1,94,668,179,0.847312,-0.114094,,,,,
