variant,subject,t_ms,model,fold,base_train,base_test,base_converged,base_nfev,base_negative_scale_evals,ext_train,ext_test,ext_converged,ext_nfev,ext_negative_scale_evals,n_test
active,3,285,model3,2,-1102.2533,-284.03232,1,908,0,-1102.1686,-284.04868,0,14000,0,186
active,3,285,model3,3,-1128.9019,-257.87899,1,819,0,-1128.6843,-257.87895,1,634,0,180
active,3,285,model3,4,-1118.2335,-267.90008,1,852,0,-1118.1734,-268.0919,1,622,0,180
active,3,315,model2B,0,-1176.4714,-311.95516,0,1200,0,-1176.4714,-311.95386,1,173,0,181
active,3,315,model2B,1,-1172.4803,-315.43371,0,1200,0,-1172.4803,-315.43387,1,188,0,183
active,3,315,model2B,2,-1182.066,-305.44478,0,1200,0,-1182.058,-305.40528,1,253,0,186
active,3,315,model2B,3,-1212.3617,-275.31127,1,1119,0,-1212.3617,-275.31155,1,172,0,180
active,3,315,model2B,4,-1200.9064,-286.28739,0,1200,0,-1200.8962,-286.37239,1,349,0,180
active,3,315,model3,0,-1175.8172,-310.94236,0,1400,0,-1175.8111,-311.01013,1,345,0,181
active,3,315,model3,1,-1170.6031,-315.57152,0,1400,0,-1170.6003,-315.60559,1,9104,0,183
active,3,315,model3,2,-1180.5694,-304.74713,0,1400,0,-1180.5694,-304.74714,1,221,0,186
active,3,315,model3,3,-1210.0409,-275.66577,0,1400,0,-1210.0409,-275.66556,1,253,0,180
active,3,315,model3,4,-1199.5511,-285.75732,1,1158,0,-1199.5511,-285.75732,1,274,0,180
active,3,435,model2B,0,-1210.9121,-358.2485,0,1200,0,-1210.8796,-358.324,0,14000,0,181
active,3,435,model2B,1,-1237.8395,-328.84536,0,1200,0,-1237.4915,-328.84474,1,670,0,183
active,3,435,model2B,2,-1256.5582,-309.39193,0,1200,0,-1256.0006,-310.33174,1,485,0,186
active,3,435,model2B,3,-1272.5825,-293.20446,1,995,0,-1272.5825,-293.20446,1,187,0,180
active,3,435,model2B,4,-1276.8555,-289.3649,1,996,0,-1276.8555,-289.3649,1,193,0,180
active,3,435,model3,0,-1210.4974,-356.39682,1,750,0,-1210.4964,-356.47067,1,448,0,181
active,3,435,model3,1,-1236.2746,-327.94861,1,1376,0,-1236.2746,-327.94859,1,244,0,183
active,3,435,model3,2,-1255.1829,-309.5708,1,685,0,-1255.1822,-309.58204,1,12832,0,186
active,3,435,model3,3,-1270.5148,-293.73238,1,732,0,-1270.5124,-293.73534,0,14000,0,180
active,3,435,model3,4,-1275.9143,-288.69086,1,733,0,-1275.9136,-288.67246,1,9659,0,180
active,3,465,model2B,0,-1227.5137,-350.42904,0,1200,0,-1227.4924,-350.56485,1,9045,0,181
active,3,465,model2B,1,-1226.3815,-351.02835,0,1200,0,-1226.3815,-351.02879,1,168,0,183
active,3,465,model2B,2,-1255.0615,-321.33439,1,1105,0,-1255.0615,-321.33437,1,204,0,186
active,3,465,model2B,3,-1293.4248,-283.22513,0,1200,0,-1293.4247,-283.22428,1,354,0,180
active,3,465,model2B,4,-1288.5217,-287.75436,0,1200,0,-1288.5217,-287.76007,1,159,0,180
