subject,window,t_ms,model0,model2B,model3
6,35,765,-196.013,-195.348,-196.063
6,36,795,-178.212,-178.303,-178.669
6,37,825,-171.284,-171.562,-171.97
6,38,855,-175.236,-175.366,-175.332
6,39,885,-173.797,-173.644,-174.071
6,40,915,-172.618,-172.982,-172.567
6,41,945,-175.761,-175.942,-176.408
6,42,975,-173.081,-173.53,-173.656
6,43,1005,-181.451,-182.209,-182.29
6,44,1035,-195.215,-195.929,-195.485
6,45,1065,-194.381,-194.592,-193.706
6,46,1095,-197.303,-197.591,-196.731
6,47,1125,-197.684,-198.894,-197.511
6,48,1155,-180.925,-181.179,-181.864
6,49,1185,-176.651,-177.604,-177.141
6,50,1215,-199.243,-198.503,-198.559
6,51,1245,-196.094,-195.477,-195.145
6,52,1275,-169.403,-169.996,-169.607
7,0,-285,-140.838,-141.325,-141.27
7,1,-255,-137.355,-137.908,-137.859
7,2,-225,-143.809,-143.794,-144.59
7,3,-195,-147.657,-148.011,-148.023
7,4,-165,-154.153,-155.144,-155.261
7,5,-135,-170.946,-171.63,-171.765
7,6,-105,-161.829,-162.398,-162.395
7,7,-75,-143.693,-143.522,-144.532
7,8,-45,-152.981,-154.067,-153.265
7,9,-15,-166.417,-166.955,-166.743
7,10,15,-160.604,-160.534,-161.283
7,11,45,-167.955,-167.947,-168.526
7,12,75,-201.049,-201.424,-201.642
7,13,105,-208.163,-208.776,-208.89
7,14,135,-200.167,-201.566,-200.745
7,15,165,-255.227,-252.196,-250.66
7,16,195,-328.146,-320.629,-320.104
7,17,225,-339.61,-331.066,-331.253
7,18,255,-296.843,-290.653,-290.592
7,19,285,-267.371,-264.31,-264.189
7,20,315,-273.738,-269.885,-270.171
7,21,345,-287.198,-280.027,-279.742
7,22,375,-314.929,-303.509,-304.915
7,23,405,-338.151,-321.632,-322.221
7,24,435,-353.914,-336.12,-335.012
7,25,465,-361.159,-341.587,-341.249
7,26,495,-360.61,-342.786,-342.885
7,27,525,-351.2,-335.726,-335.331
7,28,555,-338.458,-324.281,-323.971
7,29,585,-332.864,-320.173,-319.62
7,30,615,-329.601,-317.137,-317.115
7,31,645,-331.94,-319.524,-319.397
7,32,675,-333.429,-320.05,-319.428
7,33,705,-332.559,-316.912,-316.333
7,34,735,-334.069,-319.203,-318.682
7,35,765,-326.807,-314.715,-314.293
7,36,795,-309.892,-302.295,-301.34
7,37,825,-283.049,-277.815,-278.236
7,38,855,-269.635,-266.157,-266.994
7,39,885,-260.037,-257.613,-258.087
7,40,915,-254.245,-252.517,-253.131
7,41,945,-239.529,-239.149,-239.414
7,42,975,-214.074,-215.006,-214.785
7,43,1005,-207.416,-207.869,-208.148
7,44,1035,-206.488,-207.124,-207.202
7,45,1065,-193.212,-193.331,-193.933
7,46,1095,-188.37,-188.432,-188.866
7,47,1125,-206.44,-207.043,-206.901
7,48,1155,-210.772,-211.882,-211.002
7,49,1185,-204.497,-205.238,-205.266
7,50,1215,-212.928,-213.694,-213.843
7,51,1245,-210.183,-210.828,-210.684
7,52,1275,-209.265,-209.944,-209.636
8,0,-285,-106.965,-107.838,-106.933
8,1,-255,-104.717,-105.021,-105.38
8,2,-225,-97.0504,-97.3913,-97.0796
8,3,-195,-104.878,-105.627,-105.739
8,4,-165,-114.272,-114.554,-114.013
8,5,-135,-117.42,-117.159,-116.983
8,6,-105,-121.46,-121.677,-121.757
8,7,-75,-118.447,-118.438,-118.207
8,8,-45,-130.483,-130.883,-130.575
8,9,-15,-140.735,-140.932,-141.19
8,10,15,-150.747,-150.883,-151.077
8,11,45,-157.153,-157.319,-157.061
8,12,75,-155.121,-155.728,-155.142
8,13,105,-159.036,-157.758,-158.762
8,14,135,-195.788,-194.359,-194.501
8,15,165,-249.441,-243.214,-243.644
8,16,195,-290.722,-276.791,-277.367
8,17,225,-314.513,-297.065,-297.271
8,18,255,-319.101,-301.52,-302.085
8,19,285,-304.293,-287.048,-287.671
8,20,315,-302.262,-285.303,-286.101
8,21,345,-317.04,-302.507,-302.631
8,22,375,-323.038,-306.932,-306.442
8,23,405,-305.324,-293.671,-294.928
8,24,435,-281.289,-275.903,-274.854
8,25,465,-305.773,-291.839,-291.595
8,26,495,-333.157,-311.667,-311.403
8,27,525,-320.916,-302.444,-302.243
8,28,555,-291.732,-283.702,-283.941
8,29,585,-271.571,-265.862,-265.302
8,30,615,-254.543,-248.725,-247.97
8,31,645,-234.93,-231.147,-230.66
8,32,675,-229,-226.664,-226.279
8,33,705,-238.45,-235.011,-235.273
8,34,735,-248.746,-243.596,-244.348
8,35,765,-252.005,-246.465,-246.812
8,36,795,-254.461,-249.799,-249.701
8,37,825,-250.427,-244.871,-244.976
8,38,855,-251.489,-245.519,-245.494
8,39,885,-244.663,-239.569,-239.513
8,40,915,-231.521,-228.035,-229.383
8,41,945,-219.053,-216.72,-217.349
8,42,975,-214.835,-214.156,-214.151
8,43,1005,-189.271,-188.268,-188.364
8,44,1035,-181.826,-181.484,-181.377
8,45,1065,-200.936,-199.899,-199.768
8,46,1095,-194.575,-194.501,-194.289
8,47,1125,-183.822,-184.796,-184.793
