subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,active,10,15,model0,1,-542.287,-170.442,1,88,679,168,0.537795,0.0721588,,,,,
1,active,10,15,model0,2,-594.017,-117.409,1,94,698,149,0.566675,0.0541719,,,,,
1,active,10,15,model0,3,-550.423,-161.442,1,94,669,178,0.550925,0.0466191,,,,,
1,active,10,15,model0,4,-575.404,-136.632,1,91,661,186,0.577883,0.0715498,,,,,
1,active,10,15,model2B,0,-579.392,-131.494,0,1200,681,166,-23.4848,-0.000458826,1.03219,-55.7376,4.88058,0.0770994,
1,active,10,15,model2B,1,-538.861,-175.411,0,1200,679,168,-6.40826,-0.000350355,1.92291,-131.58,9.75563,0.0696431,
1,active,10,15,model2B,2,-593.965,-117.085,0,1200,698,149,-239.341,-5.36392e-06,5.37919,-367.193,20.6854,0.0547723,
1,active,10,15,model2B,3,-550.298,-161.125,0,1200,669,178,-172.504,-6.24409e-06,9.10369,-285.911,13.2943,0.0445357,
1,active,10,15,model2B,4,-574.438,-137.109,0,1200,661,186,121.177,-0.0144288,0.285823,-23.0444,2.30555,0.0736154,
1,active,10,15,model3,0,-578.245,-129.857,0,1400,681,166,4.46445,-3.61636,-0.014037,0.0836325,0.6441,4.30963,0.557591
1,active,10,15,model3,1,-537.136,-176.785,0,1400,679,168,-43.7598,-0.0529279,0.00433325,0.893842,0.0156172,0.0567942,0.491215
1,active,10,15,model3,2,-592.774,-117.48,0,1400,698,149,-1.24343,0.541997,-0.0191433,-0.0962158,0.367395,-0.0164865,0.565188
1,active,10,15,model3,3,-549.391,-161.459,0,1400,669,178,-0.229682,1.0942,-0.0182347,0.162172,-0.233244,-0.100385,0.549865
1,active,10,15,model3,4,-574.353,-136.503,0,1400,661,186,-23.8589,0.0148051,-0.00206961,0.156931,-0.0251126,-0.00105794,0.573133
1,active,11,45,model0,0,-664.781,-158.74,1,84,681,166,0.642295,0.0725845,,,,,
1,active,11,45,model0,1,-646.677,-177.354,1,95,679,168,0.62716,0.0890955,,,,,
1,active,11,45,model0,2,-680.414,-143.103,1,87,698,149,0.641378,0.079227,,,,,
1,active,11,45,model0,3,-647.259,-176.68,1,99,669,178,0.636701,0.0555807,,,,,
1,active,11,45,model0,4,-653.85,-169.923,1,88,661,186,0.650656,0.0815981,,,,,
1,active,11,45,model2B,0,-663.191,-157.105,1,960,681,166,-5.56383,0.639582,4.79219,-0.00964963,0.641467,0.113069,
1,active,11,45,model2B,1,-642.544,-178.902,0,1200,679,168,-8.07323,0.934264,361.448,0.192559,0.604752,0.135819,
1,active,11,45,model2B,2,-677.296,-142.757,0,1200,698,149,-4.30308,0.536797,2.08659,0.00752083,0.637979,0.140701,
1,active,11,45,model2B,3,-644.763,-175.704,0,1200,669,178,-11.4255,0.319982,8.07483,-0.0034602,0.634409,0.119973,
1,active,11,45,model2B,4,-650.003,-170.467,0,1200,661,186,-12.2378,0.16036,3.2143,-0.00554463,0.647281,0.175464,
1,active,11,45,model3,0,-663.181,-157.124,0,1400,681,166,-3.63363,1.43792,-0.012623,-3.50515,3.61985,0.842852,0.64093
1,active,11,45,model3,1,-641.089,-181.637,0,1400,679,168,10.8263,0.184594,-0.0305592,0.45803,0.372824,-0.0927367,0.56534
1,active,11,45,model3,2,-677.228,-142.813,0,1400,698,149,-10.5193,0.491138,-0.0398051,0.356883,-1.37733,-0.110776,0.638351
1,active,11,45,model3,3,-644.733,-175.704,0,1400,669,178,-15.0208,0.925669,-0.0448478,0.561187,-2.13046,-0.0678096,0.634347
1,active,11,45,model3,4,-650.004,-170.446,0,1400,661,186,-3.03747,0.3323,-0.0324792,0.318095,-1.0063,-0.239832,0.645412
1,active,12,75,model0,0,-720.124,-174.95,1,91,681,166,0.696627,0.0530302,,,,,
1,active,12,75,model0,1,-696.987,-198.763,1,174,679,168,0.675423,0.0620373,,,,,
1,active,12,75,model0,2,-733.672,-161.446,1,98,698,149,0.692246,0.0764624,,,,,
1,active,12,75,model0,3,-716.964,-178.297,1,92,669,178,0.706663,0.0530332,,,,,
1,active,12,75,model0,4,-710.698,-184.682,1,102,661,186,0.709075,0.0767598,,,,,
1,active,12,75,model2B,0,-717.421,-172.952,0,1200,681,166,-9.07183,0.0283498,5.06798,0.191292,0.683749,0.140384,
1,active,12,75,model2B,1,-690.115,-201.394,0,1200,679,168,17.7618,0.109018,3.60034,0.209387,0.655222,0.200319,
1,active,12,75,model2B,2,-730.301,-160.185,0,1200,698,149,3.0132,0.0253712,6.25,-0.062849,0.693707,0.176067,
1,active,12,75,model2B,3,-712.96,-176.935,0,1200,669,178,7.89841,1.26926,8.13579,0.270401,0.688343,0.206463,
1,active,12,75,model2B,4,-704.872,-185.016,1,1124,661,186,8.98678,0.763038,5.75062,0.189899,0.688518,0.256539,
1,active,12,75,model3,0,-717.192,-172.135,0,1400,681,166,5.67811,-0.291697,-0.040838,0.0235764,0.917526,0.944908,0.687342
1,active,12,75,model3,1,-690.43,-201.168,0,1400,679,168,-7.46622,0.0296872,-0.0851807,-2.92692,4.44533,0.0845633,0.653362
1,active,12,75,model3,2,-729.693,-160.133,1,1133,698,149,4.70899,0.933956,0.0318529,-1.27641,3.23018,0.176382,0.683234
1,active,12,75,model3,3,-712.687,-176.589,0,1400,669,178,4.34621,-1.03092,-0.00829514,0.0189946,0.62808,4.13389,0.691513
1,active,12,75,model3,4,-704.556,-184.942,0,1400,661,186,5.97166,-0.406026,-0.0235895,0.00453529,1.70373,1.03757,0.694146
1,active,13,105,model0,0,-677.526,-160.139,1,135,681,166,0.654371,0.0506309,,,,,
1,active,13,105,model0,1,-665.436,-172.46,1,80,679,168,0.644717,0.0404751,,,,,
1,active,13,105,model0,2,-675.73,-162.27,1,129,698,149,0.63709,0.0582763,,,,,
1,active,13,105,model0,3,-670.668,-167.107,1,87,669,178,0.65937,0.0528427,,,,,
1,active,13,105,model0,4,-660.098,-177.91,1,91,661,186,0.656842,0.0727572,,,,,
1,active,13,105,model2B,0,-675.782,-158.229,0,1200,681,166,12.5453,0.384134,2.9133,0.23952,0.640678,0.13011,
1,active,13,105,model2B,1,-661.493,-173.469,0,1200,679,168,-54.6572,0.0124953,14.4834,0.122715,0.636034,0.140359,
1,active,13,105,model2B,2,-672.199,-162.083,0,1200,698,149,8.25755,1.40178,15.0364,0.397411,0.611105,0.178447,
1,active,13,105,model2B,3,-667.137,-166.608,0,1200,669,178,7.54383,0.943598,2.10168,0.322102,0.639092,0.178928,
1,active,13,105,model2B,4,-656.748,-178.017,0,1200,661,186,-33.372,0.0120599,12.081,0.290926,0.632765,0.159803,
1,active,13,105,model3,0,-675.639,-158.167,1,1148,681,166,7.62185,0.991866,0.0298314,-0.179656,2.16716,-0.153406,0.636335
1,active,13,105,model3,1,-661.394,-172.922,0,1400,679,168,7.35341,0.51065,-0.0251043,0.341909,0.34417,-0.695359,0.612902
1,active,13,105,model3,2,-671.839,-162.564,1,1362,698,149,7.78318,0.688701,0.0415349,-0.782307,9.58306,0.531689,0.619884
1,active,13,105,model3,3,-666.337,-167.426,0,1400,669,178,9.88753,0.446852,0.0216339,-2.59926,11.8579,0.152531,0.636477
1,active,13,105,model3,4,-656.003,-178.903,1,1177,661,186,5.80207,0.152644,0.0599358,-0.372606,1.76227,0.394735,0.647549
1,active,14,135,model0,0,-718.649,-177.669,1,88,681,166,0.695125,0.0497453,,,,,
1,active,14,135,model0,1,-729.993,-166.735,1,88,679,168,0.709021,0.0343913,,,,,
1,active,14,135,model0,2,-715.766,-181.56,1,84,698,149,0.674695,0.0393671,,,,,
1,active,14,135,model0,3,-719.603,-176.964,1,86,669,178,0.709437,0.0507317,,,,,
1,active,14,135,model0,4,-699.521,-197.238,1,89,661,186,0.697202,0.0716986,,,,,
1,active,14,135,model2B,0,-716.27,-176.407,0,1200,681,166,-61.5184,0.00768758,14.5204,0.570256,0.664659,0.115651,
1,active,14,135,model2B,1,-726.341,-166.451,0,1200,679,168,-16.9543,0.0229955,7.51378,0.218902,0.697839,0.136919,
1,active,14,135,model2B,2,-711.606,-182.082,0,1200,698,149,20.0464,0.196976,5.87629,0.492834,0.651989,0.138794,
1,active,14,135,model2B,3,-716.075,-176.598,1,984,669,178,-21.0202,0.0110949,15.1494,0.165691,0.697387,0.153808,
1,active,14,135,model2B,4,-695.293,-198.559,1,1198,661,186,8.56009,0.853752,4.8407,-0.114579,0.701038,0.227982,
1,active,14,135,model3,0,-716.584,-175.9,0,1400,681,166,6.3756,0.289405,-0.000264939,-0.29232,1.62642,0.268303,0.687262
