subject,window,t_ms,model0,model2B,model3
13,35,765,-160.905,-161.223,-161.173
13,36,795,-141.872,-141.393,-141.605
13,37,825,-150.229,-150.672,-150.065
13,38,855,-156.443,-157.233,-156.666
13,39,885,-148.317,-148.307,-148.561
13,40,915,-141.433,-142.082,-141.555
13,41,945,-150.821,-150.657,-151.106
13,42,975,-151.282,-151.296,-151.3
13,43,1005,-165.833,-165.995,-166.176
13,44,1035,-173.006,-173.254,-173.233
13,45,1065,-168.317,-168.188,-168.284
13,46,1095,-152.984,-153.74,-153.994
13,47,1125,-144.536,-145.06,-144.81
13,48,1155,-146.435,-146.445,-146.506
13,49,1185,-155.8,-155.79,-156.445
13,50,1215,-166.821,-167.322,-168.125
13,51,1245,-161.634,-162.486,-162.182
13,52,1275,-139.654,-140.209,-139.979
14,0,-285,-116.557,-117.21,-117.147
14,1,-255,-90.4712,-90.5341,-90.2604
14,2,-225,-86.6549,-85.9644,-86.2458
14,3,-195,-92.4235,-91.944,-92.2841
14,4,-165,-107.154,-107.323,-107.512
14,5,-135,-124.484,-124.48,-124.668
14,6,-105,-132.67,-132.933,-132.97
14,7,-75,-143.218,-143.427,-143.378
14,8,-45,-150.153,-150.23,-150.254
14,9,-15,-148.398,-148.75,-147.818
14,10,15,-147.91,-148.424,-147.937
14,11,45,-141.208,-141.059,-140.956
14,12,75,-153.41,-153.856,-152.204
14,13,105,-158.711,-159.04,-157.68
14,14,135,-233.605,-223.794,-224.116
14,15,165,-326.553,-301.11,-301.778
14,16,195,-320.325,-295.665,-295.657
14,17,225,-228.28,-213.726,-213.816
14,18,255,-219.811,-212.49,-212.632
14,19,285,-284.417,-267.831,-267.768
14,20,315,-317.433,-294.127,-293.426
14,21,345,-326.759,-306.202,-306.221
14,22,375,-316.457,-298.35,-298.747
14,23,405,-298.055,-283.406,-283.167
14,24,435,-270.741,-261.221,-260.672
14,25,465,-231.61,-225.011,-225.06
14,26,495,-205.102,-202.252,-202.269
14,27,525,-173.789,-172.991,-173.085
14,28,555,-143.755,-144.123,-143.608
14,29,585,-154.434,-154.826,-154.174
14,30,615,-168.149,-168.337,-168.429
14,31,645,-163.598,-164.034,-164.127
14,32,675,-159.968,-160.615,-160.116
14,33,705,-162.882,-163.153,-162.819
14,34,735,-153.167,-153.435,-153.824
14,35,765,-147.345,-147.542,-147.451
14,36,795,-155.126,-155.587,-154.857
14,37,825,-149.866,-150.276,-150.39
14,38,855,-145.779,-146.127,-146.078
14,39,885,-152.5,-152.511,-152.579
14,40,915,-149.712,-150.018,-150.199
14,41,945,-152.321,-152.51,-153.037
14,42,975,-158.52,-159.059,-158.931
14,43,1005,-169.533,-169.496,-169.074
14,44,1035,-179.14,-178.241,-177.789
14,45,1065,-172.202,-172.484,-172.218
14,46,1095,-152.322,-152.786,-152.538
14,47,1125,-152.765,-152.975,-152.982
14,48,1155,-147.857,-147.949,-147.855
14,49,1185,-133.313,-133.619,-133.466
14,50,1215,-140.46,-141.078,-141.125
14,51,1245,-122.82,-123.106,-123.313
14,52,1275,-116.742,-117.289,-117.919
15,0,-285,-97.4024,-97.5225,-97.4564
15,1,-255,-115.208,-115.333,-115.244
15,2,-225,-102.041,-102.262,-102.383
15,3,-195,-101.496,-101.269,-101.71
15,4,-165,-95.8587,-96.3267,-95.6665
15,5,-135,-108.712,-108.972,-109.019
15,6,-105,-107.183,-107.466,-107.648
15,7,-75,-98.78,-98.2865,-98.7317
15,8,-45,-112.369,-112.955,-112.858
15,9,-15,-131.281,-131.367,-131.507
15,10,15,-129.084,-129.068,-128.988
15,11,45,-143.719,-144.083,-143.335
15,12,75,-142.303,-143.24,-142.74
15,13,105,-142.098,-142.926,-142.824
15,14,135,-165.899,-166.296,-165.784
15,15,165,-180.825,-180.166,-180.277
15,16,195,-176.381,-176.905,-175.854
15,17,225,-189.694,-188.683,-189.018
15,18,255,-215.856,-211.568,-211.511
15,19,285,-225.592,-218.175,-217.404
15,20,315,-231.243,-223.537,-223.611
15,21,345,-228.78,-223.028,-223.299
15,22,375,-240.405,-234.667,-234.636
15,23,405,-263.979,-257.316,-257.037
15,24,435,-259.752,-253.556,-254.051
15,25,465,-232.789,-229.219,-230.173
15,26,495,-216.734,-214.421,-214.629
15,27,525,-217.512,-215.055,-214.988
15,28,555,-203.061,-201.486,-201.665
15,29,585,-189.555,-189.545,-189.292
15,30,615,-187.312,-187.453,-187.251
15,31,645,-187.445,-188.111,-187.103
15,32,675,-164.853,-164.946,-164.965
15,33,705,-148.856,-149.014,-149.049
15,34,735,-139.413,-139.523,-139.491
15,35,765,-130.012,-130.218,-130.064
15,36,795,-133.774,-133.703,-133.49
15,37,825,-144.712,-145.063,-144.982
15,38,855,-142.045,-142.375,-142.06
15,39,885,-136.395,-136.651,-136.126
