subject,window,t_ms,model0,model2B,model3
5,39,885,-207.411,-207.239,-207.867
5,40,915,-213.646,-213.462,-212.632
5,41,945,-218.341,-217.975,-217.302
5,42,975,-209.238,-208.165,-208.127
5,43,1005,-197.921,-197.211,-197.54
5,44,1035,-196.217,-195.804,-195.776
5,45,1065,-202.267,-202.083,-201.916
5,46,1095,-200.349,-200.357,-200.312
5,47,1125,-199.671,-199.872,-200.362
5,48,1155,-215.33,-214.672,-215.457
5,49,1185,-228.208,-227.891,-227.164
5,50,1215,-220.741,-221.531,-220.953
5,51,1245,-203.074,-203.3,-202.961
5,52,1275,-201.69,-201.881,-201.636
6,0,-285,-104.457,-105.128,-105.129
6,1,-255,-115.999,-116.161,-116.622
6,2,-225,-113.554,-114.039,-114.896
6,3,-195,-119.422,-120.002,-120.932
6,4,-165,-124.956,-125.71,-126.104
6,5,-135,-129.559,-129.802,-130.715
6,6,-105,-122.056,-121.734,-122.251
6,7,-75,-115.487,-115.627,-115.712
6,8,-45,-128.182,-128.717,-128.582
6,9,-15,-135.944,-136.311,-136.253
6,10,15,-141.881,-141.91,-141.467
6,11,45,-133.919,-134.234,-134.567
6,12,75,-131.996,-132.612,-132.574
6,13,105,-145.098,-145.454,-145.242
6,14,135,-172.651,-172.87,-173.293
6,15,165,-178.008,-178.114,-178.206
6,16,195,-181.11,-181.787,-181.041
6,17,225,-191.448,-191.446,-191.887
6,18,255,-197.389,-196.608,-195.637
6,19,285,-225.815,-220.941,-220.692
6,20,315,-252.69,-246.386,-245.407
6,21,345,-255.397,-248.277,-247.24
6,22,375,-230.085,-224.125,-224.243
6,23,405,-205.057,-201.73,-201.686
6,24,435,-214.087,-209.506,-209.173
6,25,465,-246.095,-239.746,-240.308
6,26,495,-239.267,-233.687,-234.488
6,27,525,-209.421,-206.219,-207.028
6,28,555,-192.821,-191.842,-191.872
6,29,585,-182.286,-181.741,-182.194
6,30,615,-188.683,-188.587,-188.696
6,31,645,-179.213,-179.606,-179.304
6,32,675,-165.248,-165.7,-165.484
6,33,705,-164.658,-165.65,-165.45
6,34,735,-172.845,-173.203,-173.039
6,35,765,-174.779,-175.085,-174.986
6,36,795,-167.273,-167.665,-167.382
6,37,825,-176.05,-176.354,-175.814
6,38,855,-190.181,-190.232,-190.143
6,39,885,-163.006,-162.956,-163.081
6,40,915,-130.653,-130.716,-131.206
6,41,945,-130.725,-131.361,-130.901
6,42,975,-131.048,-130.941,-130.905
6,43,1005,-131.44,-131.661,-131.598
6,44,1035,-143.135,-143.264,-143.527
6,45,1065,-142.865,-143.032,-143.153
6,46,1095,-141.934,-141.872,-141.734
6,47,1125,-154.264,-154.386,-154.396
6,48,1155,-155.598,-155.654,-155.876
6,49,1185,-139.547,-139.671,-139.873
6,50,1215,-139.401,-139.382,-139.863
6,51,1245,-141.183,-141.236,-141.726
6,52,1275,-139.697,-140.283,-140.004
7,0,-285,-110.3,-110.077,-110.563
7,1,-255,-105.587,-105.743,-105.843
7,2,-225,-113.217,-113.336,-113.638
7,3,-195,-111.611,-111.532,-112.081
7,4,-165,-112.875,-112.971,-112.879
7,5,-135,-128.203,-128.515,-128.525
7,6,-105,-124.191,-124.11,-124.459
7,7,-75,-143.84,-143.668,-143.866
7,8,-45,-154.46,-154.399,-155.151
7,9,-15,-146.786,-147.338,-147.113
7,10,15,-164.989,-164.904,-165.295
7,11,45,-168.458,-168.596,-167.067
7,12,75,-174.004,-174.194,-174.03
7,13,105,-179.708,-179.608,-179.757
7,14,135,-193.384,-193.04,-193.755
7,15,165,-196.921,-196.957,-196.974
7,16,195,-201.215,-201.778,-201.357
7,17,225,-205.917,-206.614,-206.154
7,18,255,-238.921,-235.481,-236.918
7,19,285,-282.217,-274.62,-275.308
7,20,315,-302.155,-292.581,-292.7
7,21,345,-310.94,-299.697,-299.912
7,22,375,-318.455,-305.85,-306.379
7,23,405,-316.442,-304.025,-305.103
7,24,435,-295.216,-285.605,-286.321
7,25,465,-276.288,-269.591,-270.891
7,26,495,-264.904,-260.101,-259.938
7,27,525,-266.695,-262.932,-262.97
7,28,555,-256.508,-254.337,-254.421
7,29,585,-240.391,-239.242,-239.332
7,30,615,-238.475,-237.605,-237.931
7,31,645,-230.721,-230.438,-231.074
7,32,675,-218.134,-218.192,-218.852
7,33,705,-217.255,-217.511,-217.886
7,34,735,-204.056,-204.184,-204.746
7,35,765,-197.146,-197.312,-197.417
7,36,795,-207.8,-207.789,-208.039
7,37,825,-224.03,-223.892,-223.399
7,38,855,-225.102,-224.725,-225.053
7,39,885,-222.38,-221.886,-222.679
7,40,915,-206.425,-206.454,-206.773
7,41,945,-196.624,-196.587,-197.147
7,42,975,-207.801,-207.846,-207.949
7,43,1005,-208.331,-208.531,-208.207
7,44,1035,-203.907,-203.806,-204.087
7,45,1065,-202.618,-202.324,-202.661
7,46,1095,-204.189,-203.554,-204.043
7,47,1125,-196.193,-195.89,-195.638
7,48,1155,-186.949,-187.186,-186.618
7,49,1185,-195.096,-195.151,-195.558
7,50,1215,-199.444,-199.611,-199.772
7,51,1245,-192.524,-192.905,-192.851
7,52,1275,-186.313,-186.749,-186.061
8,0,-285,-100.483,-100.356,-100.603
8,1,-255,-105.573,-105.417,-105.455
8,2,-225,-116.812,-117.058,-116.813
8,3,-195,-126.702,-126.729,-126.686
8,4,-165,-116.797,-116.737,-117.158
8,5,-135,-109.614,-109.703,-109.367
8,6,-105,-104.222,-104.035,-103.137
8,7,-75,-117.385,-116.877,-117.193
8,8,-45,-127.664,-128.433,-127.914
8,9,-15,-124.583,-124.713,-124.794
8,10,15,-113.484,-114.065,-114.168
8,11,45,-113.883,-113.78,-114.36
8,12,75,-139.885,-139.846,-140.819
8,13,105,-148.026,-148.244,-148.401
8,14,135,-145.154,-145.598,-145.773
8,15,165,-179.7,-180.617,-180.521
8,16,195,-192.084,-191.524,-191.615
8,17,225,-187.706,-186.489,-186.672
8,18,255,-200.581,-197.677,-197.654
8,19,285,-229.601,-221.272,-221.619
8,20,315,-249.949,-235.071,-235.669
8,21,345,-244.642,-231.652,-231.226
8,22,375,-228.965,-220.173,-220.577
8,23,405,-228.128,-220.971,-221.38
8,24,435,-229.824,-223.668,-223.687
8,25,465,-210.772,-207.425,-207.205
8,26,495,-206.56,-205.639,-205.465
8,27,525,-212.357,-210.523,-210.385
8,28,555,-199.614,-198.359,-197.78
8,29,585,-170.402,-169.928,-169.743
8,30,615,-157.486,-157.61,-157.618
8,31,645,-156.09,-156.509,-156.411
8,32,675,-151.436,-152.013,-151.829
8,33,705,-139.956,-140.764,-140.216
8,34,735,-154.117,-156.666,-154.487
8,35,765,-176.283,-177.26,-176.054
8,36,795,-192.766,-191.628,-191.497
8,37,825,-172.888,-172.659,-172.733
8,38,855,-148.617,-149.028,-149.247
8,39,885,-159.081,-159.243,-159.509
8,40,915,-174.925,-174.448,-175.434
8,41,945,-161.724,-161.515,-162.029
8,42,975,-141.551,-141.576,-141.807
8,43,1005,-146.623,-146.801,-147.182
8,44,1035,-149.47,-149.556,-149.952
8,45,1065,-145.852,-146.348,-145.984
