subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,passive,6,-105,model2B,0,-515.55,-184.372,0,1200,722,171,476.356,-0.00311334,2.58888,5.08816,0.666678,-0.0369598,
1,passive,6,-105,model2B,1,-556.415,-139.737,0,1200,726,167,21.5383,-0.0169305,0.0255756,54.7114,2.44903,-0.0355073,
1,passive,6,-105,model2B,2,-561.209,-135.286,0,1200,707,186,-23.881,0.0634989,-0.22658,3.95318,0.574999,-0.0146808,
1,passive,6,-105,model2B,3,-578.163,-119.166,0,1200,707,186,-49.5115,0.0263721,-0.0605211,29.0238,1.67985,-0.0396264,
1,passive,6,-105,model2B,4,-567.013,-129.234,0,1200,710,183,14.0807,0.0209626,-0.0403541,46.4558,1.98046,-0.0315717,
1,passive,6,-105,model3,0,-512.912,-186.569,0,1400,722,171,10.5133,-0.396965,0.0578086,-0.0955598,0.692975,0.392968,0.491765
1,passive,6,-105,model3,1,-555.173,-140.313,0,1400,726,167,54.2207,-0.0354543,0.0484285,-0.158556,0.100032,-0.123329,0.518729
1,passive,6,-105,model3,2,-560.448,-135.033,0,1400,707,186,5.29821,-1.07027,0.0550401,-0.10002,0.155258,0.142697,0.534019
1,passive,6,-105,model3,3,-578.173,-118.607,0,1400,707,186,33.977,-0.058711,-0.000913039,-0.0998485,0.363834,0.0592932,0.547975
1,passive,6,-105,model3,4,-567.119,-128.038,1,1179,710,183,1.91263,-0.84718,-0.000648735,0.155757,-0.520481,0.602183,0.534422
1,passive,7,-75,model0,0,-607.994,-190.307,1,78,722,171,0.561664,-0.00393474,,,,,
1,passive,7,-75,model0,1,-632.226,-164.208,1,88,726,167,0.578069,-0.00524725,,,,,
1,passive,7,-75,model0,2,-633.968,-162.537,1,93,707,186,0.593164,0.0133427,,,,,
1,passive,7,-75,model0,3,-658.177,-139.404,1,78,707,186,0.613836,-0.0171605,,,,,
