t_ms,r_sd_mean,r_sd_sem,t_sd,p_sd,p_sd_fdr,r_mean_mean,r_mean_sem,t_mean,p_mean,p_mean_fdr
-302,-0.1143,0.1172,-0.9748,0.8291,0.9881,0.1281,0.1048,1.222,0.1184,0.1349
-300,-0.1085,0.1179,-0.9204,0.8156,0.9881,0.1163,0.1067,1.09,0.1447,0.1617
-298,-0.1024,0.1184,-0.8648,0.801,0.9881,0.1053,0.1084,0.9714,0.1718,0.1907
-296,-0.09518,0.1186,-0.8024,0.7839,0.9881,0.09545,0.1101,0.8668,0.1984,0.2183
-294,-0.0859,0.1188,-0.7233,0.7608,0.9881,0.08666,0.1119,0.7744,0.2241,0.2451
-292,-0.07359,0.1189,-0.6187,0.7283,0.9881,0.0787,0.1139,0.691,0.249,0.2702
-290,-0.05819,0.1193,-0.4879,0.6844,0.9881,0.07115,0.1161,0.6128,0.2736,0.2961
-288,-0.04132,0.1199,-0.3447,0.633,0.9881,0.0636,0.1184,0.5372,0.2987,0.3227
-286,-0.02563,0.1205,-0.2126,0.583,0.9881,0.05584,0.1205,0.4633,0.3242,0.3491
-284,-0.01304,0.1209,-0.1079,0.5424,0.9881,0.0479,0.1223,0.3918,0.3498,0.375
-282,-0.004105,0.1204,-0.03409,0.5134,0.9881,0.04,0.1235,0.3238,0.3748,0.4008
-280,0.001577,0.119,0.01325,0.4948,0.9881,0.03235,0.1242,0.2605,0.3986,0.4259
-278,0.00493,0.1168,0.04222,0.4834,0.9881,0.02512,0.1243,0.2022,0.421,0.449
-276,0.007165,0.114,0.06288,0.4753,0.9881,0.01836,0.1239,0.1482,0.4419,0.4705
-274,0.00935,0.1109,0.08433,0.4668,0.9881,0.01203,0.123,0.09782,0.4616,0.4906
-272,0.01203,0.1078,0.1116,0.4561,0.9881,0.006051,0.1217,0.04971,0.4804,0.5098
-270,0.01515,0.105,0.1444,0.4434,0.9881,0.0003305,0.1202,0.002751,0.4989,0.5285
-268,0.0181,0.1024,0.1767,0.4308,0.9881,-0.005226,0.1183,-0.04417,0.5174,0.5471
-266,0.01991,0.1002,0.1987,0.4223,0.9881,-0.01072,0.1163,-0.09218,0.5362,0.5666
-264,0.01945,0.09837,0.1978,0.4227,0.9881,-0.01626,0.1141,-0.1426,0.5559,0.5864
