subject,task,n_trials,n_present,n_catch,n_blocks,contrast_min,contrast_median,contrast_max,contrast_iqr,contrast_cv,contrast_n_unique,seen_rate,seen_rate_catch,n_seen_missing,n_seen_from_column,n_objective,objective_acc,n_obj_from_column,seen_col_conflicts,obj_col_conflicts,n_left,n_right,n_vertical,n_horizontal,n_pd_total,n_pd_used,n_pd_break,n_pd_break_interior,block_source,block_sizes,n_pd_uncorrected,pd_delay_ms_min,pd_delay_ms_median,pd_delay_ms_max,cue_soa_s_min,cue_soa_s_max,rt_subj_s_median,rt_subj_s_p10,stray_codes,seen_q1,seen_q2,seen_q3,seen_q4,seen_q5,seen_vdig0,seen_vdig1,contrast_vdig0,contrast_vdig1
23,noninformative,400,360,40,4,0.0255664,0.0339302,0.0443909,0.0062149,0.124712,357,0.466667,0,0,0,55,0.672727,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,72,0.68,1.004,0.8475,0.72,,0.472222,0.458333,0.5,0.388889,0.513889,0.472222,0.461111,0.0340177,0.0337475
23,informative,399,359,40,4,0.0228754,0.0296177,0.0511849,0.00799725,0.188744,354,0.545961,0.075,0,0,52,0.634615,0,0,0,180,179,179,180,801,797,4,3,break_128,99;100;100;100,0,30,39,60,0.6856,1.505,0.833,0.71624,,0.375,0.527778,0.619718,0.583333,0.625,,,,
24,nocue,400,360,40,4,0.0166525,0.0231152,0.0286678,0.00293485,0.0968625,355,0.506964,0.025,1,0,101,0.910891,47,0,1,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,62.5,,,0.841,0.7018,,0.375,0.323944,0.541667,0.638889,0.652778,,,,
24,noninformative,400,360,40,4,0.017943,0.0253956,0.0317873,0.00332362,0.100657,353,0.502778,0.1,0,0,54,0.740741,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60.54,0.7,1.01,1.03,0.869,,0.444444,0.527778,0.5,0.5,0.541667,0.494444,0.511111,0.0253488,0.025413
24,informative,400,360,40,4,0.0133989,0.0212067,0.0270355,0.00375713,0.131514,355,0.483333,0.05,0,0,46,0.717391,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,61.52,0.685,1.01,1.018,0.7899,,0.263889,0.402778,0.486111,0.625,0.638889,,,,
25,nocue,400,360,40,4,0.0343505,0.0493596,0.0809371,0.0233053,0.225042,356,0.438889,0.05,0,0,58,0.672414,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,56,,,0.96,0.7979,,0.388889,0.416667,0.444444,0.430556,0.513889,,,,
25,noninformative,400,360,40,4,0.0342013,0.0568842,0.0938292,0.0169493,0.227285,360,0.369444,0.05,0,0,56,0.589286,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56.6,0.68,1.0371,1.046,0.89,,0.444444,0.347222,0.402778,0.305556,0.347222,0.372222,0.366667,0.0568842,0.057008
25,informative,400,360,40,4,0.0276088,0.0497547,0.0652387,0.0119744,0.158438,357,0.419444,0.05,0,0,49,0.612245,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,57,0.685,1.004,0.913,0.7589,,0.305556,0.486111,0.416667,0.430556,0.458333,,,,
26,nocue,400,360,40,4,0.0271946,0.0549123,0.0771458,0.0264018,0.270182,359,0.388889,0,0,0,48,0.666667,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,55.7,,,0.937,0.791,,0.430556,0.388889,0.305556,0.333333,0.486111,,,,
26,noninformative,400,360,40,4,0.0383233,0.0534078,0.0814027,0.0132041,0.207618,359,0.425,0,0,0,63,0.746032,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,65.43,0.685,1.004,0.9235,0.787,,0.458333,0.430556,0.444444,0.305556,0.486111,0.411111,0.438889,0.0537465,0.0530821
26,informative,399,360,39,4,0.0214949,0.0311633,0.0417013,0.0058998,0.134072,358,0.480337,0.025641,4,0,43,0.72093,0,0,0,180,180,180,180,802,798,4,3,break_128,99;100;100;100,0,30,39,60,0.685,1.004,1.0146,0.838,,0.388889,0.422535,0.464789,0.513889,0.614286,,,,
27,nocue,400,360,40,4,0.0162522,0.0225694,0.0274929,0.00289805,0.096916,346,0.497222,0.175,0,0,47,0.595745,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,60,,,0.954,0.7847,,0.361111,0.375,0.472222,0.569444,0.708333,,,,
27,noninformative,400,360,40,4,0.012109,0.024723,0.0309025,0.00378798,0.118835,353,0.463889,0.125,0,0,54,0.703704,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.685,1.004,0.85475,0.7267,,0.375,0.416667,0.430556,0.666667,0.430556,0.466667,0.461111,0.0247819,0.0246603
27,informative,400,360,40,4,0.0150727,0.0220106,0.0295098,0.0033272,0.107182,351,0.482428,0.147059,53,0,47,0.680851,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.68,1.02,0.862,0.7026,,0.196429,0.40678,0.476923,0.606061,0.671642,,,,
