generator,grid,rep,seed,size,member,n_starts_pipeline,n_starts_strong,n_train_concepts,n_test_concepts,pipeline_loglik,strong_loglik,gap,miss,pipeline_converged,pipeline_n_converged,strong_n_converged,starts_at_best,pipeline_heldout,strong_heldout,n_heldout_trials,seconds_pipeline,seconds_strong,pipeline_source,strong_source,strong_batch,challenge_is_skew,n_archived,pipeline_theta,strong_theta
M2S,"{""omega"": 0.5}",3,500003,inner,M2H,4,84,38,14,-8476.2521755761,-8476.252175575632,4.69299266114831e-10,0,1,4,82,82,-3120.662523462951,-3120.6624705224185,2352,23.8,537.6,cold,extra,extra,0,84,"[2.887539, 1.295371, 1.920173, 0.379683, 0.957676, 0.888712, -0.397196]","[2.887536, 1.29537, 1.920174, 0.379683, 0.957675, 0.888712, -0.397197]"
M2S,"{""omega"": 0.5}",3,500003,inner,M2K,4,84,38,14,-8498.77887778845,-8498.778877680657,1.0779331205412745e-07,0,1,4,84,83,-3121.117449207835,-3121.1175738537686,2352,0.6,11.8,cold,extra,extra,1,84,"[3.039703, 1.641904, 2.349373, 0.252003, 0.97369, 1.776173, -0.885001, -0.115972]","[3.039701, 1.641886, 2.349372, 0.252005, 0.973689, 1.776165, -0.884993, -0.115971]"
M2S,"{""omega"": 0.5}",3,500003,inner,M2S,4,84,38,14,-7047.5964494813925,-7047.596449460198,2.119486453011632e-08,0,1,4,84,84,-2745.031891887136,-2745.0319707003305,2352,15.0,312.5,cold,challenge,challenge,0,84,"[2.981298, 1.600199, 1.976257, 0.157062, 0.730724, 0.975534, -0.703179]","[2.981298, 1.600203, 1.976254, 0.157062, 0.730726, 0.975532, -0.703165]"
M2S,"{""omega"": 0.5}",3,500003,inner,M3,4,84,38,14,-8682.958276371048,-8682.958276370671,3.765308065339923e-10,0,1,4,84,84,-3135.9059847330786,-3135.9060048593483,2352,0.5,8.9,cold,challenge,challenge,0,84,"[0.854162, 0.545377, -0.957723, -3.642078, 4.827005, 0.662533, 0.873141]","[0.854166, 0.545378, -0.957723, -3.642069, 4.826996, 0.662534, 0.873141]"
M2S,"{""omega"": 0.5}",3,500003,inner,M3H,4,84,38,14,-8721.619084966656,-8721.619084886892,7.976450433488935e-08,0,1,4,84,84,-3166.118215414539,-3166.1183139829536,2352,81.2,1551.1,cold,extra,extra,0,84,"[-0.922075, -19.754515, 0.666451, 0.898247, 1.609377, 2.567432, -0.132001, -30.213613]","[-0.922075, -20.11511, 0.666451, 0.898259, 1.609393, 2.567432, -0.132, -55.653486]"
M2S,"{""omega"": 0.5}",3,500003,inner,M3L,4,84,38,14,-8721.619085726645,-8721.619085022841,7.038033800199628e-07,0,1,4,84,84,-3166.1199985941,-3166.118774114462,2352,0.6,11.9,cold,extra,extra,0,84,"[-0.922076, -18.130638, 0.666449, 0.898259, 1.609485, 2.567448, -0.132, -3.759283]","[-0.922072, -19.04202, 0.666449, 0.898256, 1.609416, 2.567443, -0.132001, -3.831335]"
M2S,"{""omega"": 0.5}",3,500003,inner,M3V,4,84,38,14,-8569.874532141004,-8569.874529756446,2.384558683843352e-06,0,1,4,84,84,-3138.7470360650354,-3138.7471574747124,2352,0.4,9.1,cold,extra,extra,0,84,"[-0.901807, -16.995276, 0.608971, 3.032064, 0.931239, 2.444916, -0.478631, 0.041808]","[-0.901802, -20.283302, 0.608969, 3.031965, 0.931283, 2.444936, -0.478627, 0.041808]"
M2S,"{""omega"": 0.5}",3,500003,outer,M2B,8,88,52,12,-11646.321151994165,-11646.321151994147,1.8189894035458565e-11,0,1,8,88,88,-3034.9688763338972,-3034.9688811838596,2016,0.3,2.8,cold,extra,extra,0,88,"[3.006752, 1.494944, 1.980535, 0.211158, 0.934947, 0.968769]","[3.006752, 1.494944, 1.980535, 0.211158, 0.934947, 0.968769]"
M2S,"{""omega"": 0.5}",3,500003,outer,M2H,8,88,52,12,-11589.613884533625,-11589.61388451913,1.4493707567453384e-08,0,1,8,88,84,-3002.6289525053294,-3002.629024977071,2016,72.0,775.0,cold,extra,extra,0,88,"[2.912083, 1.301297, 1.96888, 0.324341, 0.942615, 0.928949, -0.587212]","[2.912086, 1.301296, 1.968878, 0.32434, 0.942615, 0.928948, -0.587206]"
M2S,"{""omega"": 0.5}",3,500003,outer,M2K,8,88,52,12,-11615.632393078922,-11615.63239306646,1.2461896403692663e-08,0,1,8,88,49,-3039.545079537832,-3039.5452818019535,2016,1.7,16.0,cold,extra,extra,1,88,"[3.019734, 1.490066, 2.375532, 0.237483, 0.971164, 1.77237, -0.8595, -0.112415]","[3.019737, 1.490071, 2.375534, 0.237484, 0.971164, 1.772374, -0.859501, -0.11242]"
M2S,"{""omega"": 0.5}",3,500003,outer,M2S,8,88,52,12,-9791.383394902536,-9791.383394902368,1.673470251262188e-10,0,1,8,88,88,-2597.949848022775,-2597.949844676922,2016,43.0,449.7,cold,challenge,challenge,0,88,"[2.987237, 1.557168, 1.991938, 0.15128, 0.741786, 0.986625, -0.73938]","[2.987238, 1.557168, 1.991938, 0.15128, 0.741786, 0.986625, -0.73938]"
M2S,"{""omega"": 0.5}",3,500003,outer,M3,8,88,52,12,-11816.830279879492,-11816.830279876767,2.724846126511693e-09,0,1,8,88,88,-3094.5483929609413,-3094.548293000872,2016,1.3,12.7,cold,challenge,challenge,0,88,"[0.080972, 0.461337, -0.967403, -5.006035, 6.252575, 0.566062, 0.866158]","[0.080978, 0.461337, -0.967401, -5.006024, 6.252564, 0.566062, 0.866158]"
M2S,"{""omega"": 0.5}",3,500003,outer,M3H,8,88,52,12,-11885.320820950612,-11885.320820657249,2.9336297302506864e-07,0,1,8,88,88,-3093.124686034452,-3093.1242075851637,2016,249.1,2461.9,cold,extra,extra,0,88,"[-0.927314, -19.258916, 0.677261, 0.895994, 1.442169, 2.513385, -0.140365, -48.236923]","[-0.927316, -20.901152, 0.67726, 0.895987, 1.442186, 2.513385, -0.140364, -21.499008]"
M2S,"{""omega"": 0.5}",3,500003,outer,M3L,8,88,52,12,-11885.320821024017,-11885.320820690118,3.3389915188308805e-07,0,1,8,88,88,-3093.126949078346,-3093.1241877564207,2016,1.7,16.6,cold,extra,extra,0,88,"[-0.927321, -18.934764, 0.677263, 0.896019, 1.442157, 2.513372, -0.140366, -3.708737]","[-0.927311, -20.05213, 0.677261, 0.896001, 1.442174, 2.5134, -0.140364, -3.787165]"
M2S,"{""omega"": 0.5}",3,500003,outer,M3V,8,88,52,12,-11704.803485066197,-11704.803484457467,6.087302608648315e-07,0,1,8,88,88,-3047.6979706421575,-3047.6968317076744,2016,1.4,14.1,cold,extra,extra,0,88,"[-0.905506, -18.021195, 0.629116, 3.097799, 0.834233, 2.407301, -0.458598, 0.021267]","[-0.905508, -18.713762, 0.629114, 3.097777, 0.834251, 2.407285, -0.458601, 0.02127]"
M2S,"{""omega"": 0.5}",4,500004,inner,M2B,4,84,38,14,-8506.108779070408,-8506.108779070379,2.9103830456733704e-11,0,1,4,84,83,-3469.6542227743844,-3469.654227420275,2352,0.1,3.1,cold,extra,extra,0,84,"[3.019986, 1.656167, 1.97643, 0.176239, 0.927144, 0.989349]","[3.019986, 1.656167, 1.97643, 0.176239, 0.927144, 0.989349]"
M2S,"{""omega"": 0.5}",4,500004,inner,M2H,4,84,38,14,-8306.307052400654,-8306.307052399894,7.60337570682168e-10,0,1,4,83,83,-3450.382680523633,-3450.38272004954,2352,32.2,635.9,cold,extra,extra,0,84,"[2.84852, 1.205443, 2.00274, 0.376665, 0.925688, 0.943933, -0.015498]","[2.848515, 1.205442, 2.00274, 0.376665, 0.925688, 0.943933, -0.015499]"
M2S,"{""omega"": 0.5}",4,500004,inner,M2K,4,84,38,14,-8478.802700138298,-8477.635942043133,1.166758095165278,1,1,4,84,14,-3461.2558613325255,-3462.5975974684184,2352,0.5,11.2,cold,challenge,challenge,1,84,"[3.033848, 1.650506, 1.913481, 0.172788, 1.195485, 0.380891, 0.826944, -0.176207]","[3.297162, 1.617476, 2.973385, 0.062108, 1.054491, 1.401258, 0.337135, -0.580719]"
M2S,"{""omega"": 0.5}",4,500004,inner,M2S,4,84,38,14,-6764.665836207425,-6764.6658362058415,1.583430275786668e-09,0,1,4,84,84,-3081.1955869782228,-3081.195568395642,2352,19.2,431.2,cold,challenge,challenge,0,84,"[3.011938, 1.53862, 1.996118, 0.148114, 0.700363, 0.978749, -0.614221]","[3.011939, 1.538618, 1.996119, 0.148114, 0.700366, 0.97875, -0.61422]"
